name,uuid,description,reference_path,position,rotation,scale,bounding_box_center,bounding_box_extend
BannerMounted,42379249322,"这是一个类中世纪题材的3D资产，主要特征如下：

- **盾牌**：中央有一个金属盾牌，盾牌上有十字形的设计。
- **剑**：两侧各有一把交叉的剑，剑柄和剑身均为金属材质。
- **木板**：盾牌和剑固定在一个木质背景板上，背景板有明显的木纹纹理。
- **钉子**：顶部有两个金属钉子，用于固定盾牌和剑。","res://scenes/props/banner_mounted.tscn","[7.4, 4.2, -0.4]","[-0, -1.5708, 0]","[1, 1, 1]","[0, 2.12943, 0.50248]","[1.116, 1.59804, 0.18705]"
ChestGold,42446358190,"这是一个类中世纪题材的3D宝箱资产。主要特征如下：

- **形状**：矩形，顶部略微拱起。
- **材质**：木质纹理，表面有磨损痕迹。
- **颜色**：深棕色。
- **装饰**：两侧有金属带固定，金属带上有圆形铆钉。
- **锁具**：正面有一个金属锁扣，锁扣呈心形设计。","res://scenes/props/chest_gold.tscn","[-7.1, 0.5, -2.6]","[-0, 0, 0]","[1, 1, 1]","[0, 0.52033, 0.0229]","[0.8, 0.52034, 0.6229]"
CoinStack,42530244275,"这是一组类中世纪题材的3D资产，主要特征如下：

1. **形状**：物体呈多边形（六边形）形状，类似于古代金币或宝石。
2. **堆叠方式**：物体以不规则的方式堆叠在一起，形成一个金字塔状的结构。
3. **颜色**：物体呈现出金色，表面有光泽，给人一种金属质感。
4. **细节**：物体表面光滑，边缘清晰，具有一定的立体感。","res://scenes/props/coin_stack.tscn","[-5.4, 0.5, -2.6]","[-0, 0, 0]","[1, 1, 1]","[-0.00105, 0.57845, 0.01376]","[0.71825, 0.57845, 0.82934]"
CratesStacked,42597353143,"这展示了一些类中世纪题材的3D资产，主要特征如下：

1. **左侧结构**：
   - 形状：多层堆叠的方形和矩形结构。
   - 颜色：深棕色和浅蓝色。
   - 特征：顶部有一个小的立方体结构，可能是装饰物或旗帜。

2. **右侧结构**：
   - 形状：立方体，中间有凹陷。
   - 颜色：浅蓝色和橙色。
   - 特征：内部可能用于储存或展示物品。

3. **底部物体**：
   - 形状：圆锥形底座，顶部有一个小的立方体。
   - 颜色：深棕色。
   - 特征：可能是一个装饰性的底座或支撑物。

这些资产通常用于构建中世纪风格的游戏场景或建筑模型。","res://scenes/props/crates_stacked.tscn","[-7, 0.5, 2]","[-0, -3.14159, 0]","[1, 1, 1]","[-0.04541, 1.07114, -0.03255]","[1.04459, 1.07115, 1.1247]"
KegDecorated,42664462011,"这展示了一组类中世纪题材的3D资产，主要包括以下物体：

1. **木桶**：一个大型的木质酒桶，表面有明显的木纹和金属箍。
2. **桌子**：一张简单的木制桌子，桌面上放置了几件物品。
3. **瓶子**：桌子上放有三个瓶子，可能是装有饮料或药水的玻璃瓶。
4. **碗状物**：桌子上还有一个碗状的容器，可能是用来盛放食物或液体的。

这些物体的设计风格简洁，符合中世纪或奇幻题材的场景需求。","res://scenes/props/keg_decorated.tscn","[4.8, 0.6, 4.4]","[-0, 3.14159, 0]","[1, 1, 1]","[-0.05986, 1.02536, 0.02439]","[1.75953, 1.02536, 1]"
Keyring,42731570879,"这是一组中世纪风格的钥匙，主要特征如下：

1. **环形设计**：钥匙被串在一个多边形的环上，环的形状为不规则的多边形。
2. **钥匙数量**：共有四把钥匙，每把钥匙的形状和大小略有不同。
3. **几何风格**：钥匙和环的设计都非常简洁，采用了几何形状，线条清晰，没有复杂的细节。
4. **材质**：表面光滑，颜色单一，可能是金属材质，但整体呈现极简风格。","res://scenes/props/keyring.tscn","[-8.4, 2.1, 1.6]","[1.54144, 3.04769, 1.48473]","[1, 1, 1]","[0.0684, 0.11081, -0.06739]","[0.5155, 0.13069, 0.60467]"
SwordShield,42798679747,"这张图片展示了一面盾牌和两把交叉的剑。盾牌呈金色，中心有一个红色的十字图案。两把剑交叉放置在盾牌后面，剑柄朝外，剑刃朝内。整体设计具有中世纪风格，象征着骑士精神和战斗。","res://scenes/props/sword_shield.tscn","[3, 2.1, -3.9]","[-0, -1.5708, 0]","[1, 1, 1]","[0, 0.01871, 0.0833]","[1.116, 0.83372, 0.16787]"
TableMedium,42865788615,"这是一张中世纪风格的木制桌子，桌面上铺有一条白色的布。桌子结构简单，四条腿支撑着桌面，整体呈现出古朴的风格。","res://scenes/props/table_medium.tscn","[-0.5, 0.5, -3.2]","[-0, 0, 0]","[1, 1, 1]","[0, 0.5, 0]","[1, 0.5, 1]"
Chair,42932897483,"这是一把中世纪风格的木椅，主要特征如下：

- **材质**：木质
- **结构**：
  - **椅背**：高背设计，顶部有弧形装饰。
  - **椅座**：方形，表面平整。
  - **椅腿**：四条直立的腿，底部有简单的支撑结构。

整体设计简洁，符合中世纪家具的风格。","res://scenes/props/chair.tscn","[1.3, 0.6, -3.1]","[-0, 0, 0]","[1, 1, 1]","[0.00129, 0.61326, -0.00004]","[0.375, 0.61326, 0.37497]"
Chair2,43000006351,"这是一把中世纪风格的木椅，主要特征如下：

- **材质**：木质
- **结构**：
  - **椅背**：高背设计，顶部有弧形装饰。
  - **椅座**：方形，表面平整。
  - **椅腿**：四条直立的腿，底部有简单的支撑结构。

整体设计简洁，符合中世纪家具的风格。","res://scenes/props/chair.tscn","[-2.5, 0.5, -3.2]","[-0, 3.14159, 0]","[1, 1, 1]","[0.00129, 0.61326, -0.00004]","[0.375, 0.61326, 0.37497]"
